Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Unique ID,Count of Officers/Agents
2024,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240500053,1
2021,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,210800018,1
2023,DEC,U.S. Border Patrol,Southern Border,Del Rio Sector,231200014,1
2022,JUL,U.S. Border Patrol,Southern Border,Yuma Sector,220700094,1
2024,MAR,U.S. Border Patrol,Southern Border,Del Rio Sector,240300012,1
2023,JUL,U.S. Border Patrol,Southern Border,Laredo Sector,230700039,1
2021,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,210600087,2
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400096,1
2024,AUG,U.S. Border Patrol,Southern Border,El Paso Sector,240800028,1
2024,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,240700001,1
2024,APR,U.S. Border Patrol,Southern Border,San Diego Sector,240400053,1
2022,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,221100035,3
2022,MAY,Office of Field Operations,Southern Border,San Diego Field Office,220500100,1
2023,APR,U.S. Border Patrol,Southern Border,Tucson Sector,230400078,1
2021,JUL,U.S. Border Patrol,Southern Border,Yuma Sector,210700062,2
2022,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,220800030,1
2024,SEP,U.S. Border Patrol,Southern Border,Del Rio Sector,240900012,1
2024,AUG,U.S. Border Patrol,Southern Border,El Paso Sector,240800021,1
2024,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,240800012,1
2023,APR,U.S. Border Patrol,Southern Border,San Diego Sector,230400071,2
2024,APR,U.S. Border Patrol,Southern Border,Tucson Sector,240400068,1
2023,MAR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230300077,1
2022,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,221200070,1
2022,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,221000021,1
2021,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,210100018,1
2024,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,240200002,2
2021,JAN,U.S. Border Patrol,Southern Border,Del Rio Sector,210100010,1
2023,AUG,U.S. Border Patrol,Southern Border,Yuma Sector,230800109,2
2024,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,241000055,1
2024,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,240600042,1
2021,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,210500064,1
2023,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,231200083,1
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100074,2
2022,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,221100058,1
2023,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,230900077,3
2024,FEB,Air and Marine Operations,Coastal/Interior,Operations Directorate,240200015,1
2023,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,230600079,2
2023,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,231000076,1
2023,AUG,Office of Field Operations,Coastal/Interior,Tampa Field Office,230800112,1
2024,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,240700021,1
2021,OCT,U.S. Border Patrol,Southern Border,Del Rio Sector,211000008,1
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100039,1
2022,AUG,Office of Field Operations,Southern Border,Laredo Field Office,220800106,1
2023,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,231100005,2
2021,MAY,U.S. Border Patrol,Southern Border,Del Rio Sector,210500012,1
2023,DEC,U.S. Border Patrol,Southern Border,San Diego Sector,231200063,1
2023,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,230100034,1
2024,OCT,U.S. Border Patrol,Southern Border,Tucson Sector,241000065,1
2023,JAN,Office of Field Operations,Southern Border,Laredo Field Office,230100006,1
2023,JUN,U.S. Border Patrol,Southern Border,Del Rio Sector,230600010,1
2024,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,241200050,1
2023,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,230100022,2
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400044,1
2022,DEC,Office of Field Operations,Southern Border,San Diego Field Office,221200094,1
2022,MAY,Office of Field Operations,Southern Border,Laredo Field Office,220500094,1
2023,APR,U.S. Border Patrol,Southern Border,Tucson Sector,230400083,1
2024,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,241000027,3
2023,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,230100019,1
2022,APR,Office of Field Operations,Southern Border,Laredo Field Office,220400105,1
2023,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,230200075,1
2023,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,231000055,1
2023,JAN,U.S. Border Patrol,Northern Border,Havre Sector,230100038,1
2023,DEC,Office of Field Operations,Southern Border,Tucson Field Office,231200100,1
2024,SEP,U.S. Border Patrol,Southern Border,Laredo Sector,240900035,1
2023,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,230100049,3
2024,JUL,U.S. Border Patrol,Southern Border,Del Rio Sector,240700014,1
2024,MAY,Air and Marine Operations,Coastal/Interior,Operations Directorate,240500010,1
2023,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,231200007,1
2022,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,220900105,1
2024,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,240600057,1
2023,SEP,U.S. Border Patrol,Northern Border,Swanton Sector,230900069,1
2023,APR,U.S. Border Patrol,Southern Border,San Diego Sector,230400069,1
2022,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,220200076,2
2024,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,240600060,1
2022,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220500040,2
2024,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,241100056,1
2021,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,210200060,1
2023,MAR,U.S. Border Patrol,Southern Border,Yuma Sector,230300122,1
2023,JAN,U.S. Border Patrol,Southern Border,Yuma Sector,230100087,1
2023,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,230500034,1
2022,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,221200014,1
2024,JAN,U.S. Border Patrol,Southern Border,Laredo Sector,240100040,1
2021,JAN,U.S. Border Patrol,Coastal/Interior,Special Operations Group,210100033,1
2022,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,221000044,1
2023,JUN,U.S. Border Patrol,Southern Border,El Centro Sector,230600020,1
2021,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,211200008,1
2024,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,240700060,1
2024,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,240800058,1
2021,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,210500027,1
2022,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,221100031,1
2021,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,210300024,1
2023,FEB,Office of Field Operations,Southern Border,San Diego Field Office,230200120,1
2023,FEB,Office of Field Operations,Southern Border,Tucson Field Office,230200123,1
2022,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,220900102,1
2024,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,240400009,1
2021,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,210900017,1
2024,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,241200003,4
2024,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,240200073,1
2021,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,211000030,1
2022,SEP,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220900057,1
2024,JUN,U.S. Border Patrol,Southern Border,El Centro Sector,240600011,1
2021,MAR,Air and Marine Operations,Coastal/Interior,Operations Directorate,210300007,1
2024,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,240500024,3
2021,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,210300026,1
2024,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,240600015,1
2021,JUN,Office of Field Operations,Southern Border,El Paso Field Office,210600100,1
2022,JUL,Office of Field Operations,Southern Border,San Diego Field Office,220700104,1
2022,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,220100021,1
2022,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,220200054,1
2022,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,220700050,2
2023,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,230200067,1
2023,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,230600062,3
2021,DEC,Air and Marine Operations,Coastal/Interior,Operations Directorate,211200002,1
2021,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,210600038,1
2022,JUL,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220700046,1
2023,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230400064,1
2021,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,211000050,1
2024,APR,U.S. Border Patrol,Southern Border,Tucson Sector,240400072,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500074,1
2024,AUG,U.S. Border Patrol,Southern Border,Del Rio Sector,240800007,1
2021,APR,U.S. Border Patrol,Southern Border,Yuma Sector,210400083,1
2023,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,230300112,2
2024,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,240200040,1
2022,MAY,Office of Field Operations,Northern Border,Boston Field Office,220500091,1
2023,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,230200078,1
2023,SEP,U.S. Border Patrol,Southern Border,Laredo Sector,230900044,1
2021,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,210800097,1
2021,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,211000023,1
2023,JUN,U.S. Border Patrol,Southern Border,Laredo Sector,230600045,1
2022,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,220600044,1
2023,APR,U.S. Border Patrol,Southern Border,Yuma Sector,230400091,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500073,1
2022,JUL,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220700048,1
2022,MAY,Office of Field Operations,Southern Border,San Diego Field Office,220500103,1
2022,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,221200055,1
2021,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,210500036,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600061,1
2024,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240500050,1
2023,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,230300004,1
2024,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,240200087,1
2023,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,231000070,1
2023,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,231100083,2
2023,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,230700004,1
2022,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,220300066,1
2024,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,240600054,1
2021,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,211200012,1
2023,SEP,U.S. Border Patrol,Southern Border,Yuma Sector,230900094,1
2023,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,230600059,1
2022,APR,U.S. Border Patrol,Southern Border,El Paso Sector,220400047,1
2024,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,241100039,1
2022,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,220900036,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400012,1
2024,JUN,Office of Field Operations,Coastal/Interior,New Orleans Field Office,240600072,1
2023,FEB,U.S. Border Patrol,Southern Border,Del Rio Sector,230200011,1
2023,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,230800099,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600051,1
2023,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,230300049,6
2023,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,231100028,1
2021,MAY,U.S. Border Patrol,Coastal/Interior,Special Operations Group,210500066,2
2021,MAR,U.S. Border Patrol,Southern Border,Laredo Sector,210300032,1
2022,SEP,Air and Marine Operations,Coastal/Interior,Operations Directorate,220900010,1
2023,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,230600063,1
2023,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,230400014,1
2022,JAN,Office of Field Operations,Southern Border,San Diego Field Office,220100106,1
2024,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,241100021,2
2022,OCT,U.S. Border Patrol,Southern Border,Laredo Sector,221000034,1
2024,APR,U.S. Border Patrol,Southern Border,El Centro Sector,240400017,3
2023,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,231100033,3
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100042,1
2024,AUG,U.S. Border Patrol,Southern Border,Laredo Sector,240800031,1
2024,APR,U.S. Border Patrol,Southern Border,El Paso Sector,240400031,1
2023,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,230300119,1
2023,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,230700058,1
2021,SEP,U.S. Border Patrol,Southern Border,El Paso Sector,210900032,1
2023,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,230200102,1
2023,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,230600074,1
2021,MAR,Air and Marine Operations,Coastal/Interior,Operations Directorate,210300008,1
2024,SEP,U.S. Border Patrol,Southern Border,El Paso Sector,240900030,1
2024,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,240700061,2
2021,SEP,U.S. Border Patrol,Southern Border,Big Bend Sector,210900009,1
2023,JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,230100011,1
2024,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,240600041,1
2023,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,230900004,1
2021,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,210900049,1
2024,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,240900057,2
2024,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,241000002,1
2021,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210200039,1
2023,JAN,Office of Field Operations,Southern Border,Tucson Field Office,230100101,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500084,1
2024,JUN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240600001,1
2021,APR,U.S. Border Patrol,Southern Border,Laredo Sector,210400035,1
2023,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,231200080,1
2024,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,240800013,2
2021,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,211100063,2
2022,APR,U.S. Border Patrol,Southern Border,Tucson Sector,220400090,4
2024,MAR,U.S. Border Patrol,Southern Border,Del Rio Sector,240300007,1
2024,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,241100043,4
2024,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,240200008,1
2024,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,241000012,1
2021,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,210600059,2
2023,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,230200095,1
2021,APR,U.S. Border Patrol,Southern Border,El Paso Sector,210400033,1
2021,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,210900014,2
2024,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,240900047,1
2022,DEC,U.S. Border Patrol,Southern Border,Big Bend Sector,221200018,1
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400049,1
2024,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,240100019,1
2021,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,210500040,1
2022,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,220700021,1
2022,NOV,Office of Field Operations,Southern Border,San Diego Field Office,221100004,1
2021,SEP,Office of Field Operations,Southern Border,San Diego Field Office,210900006,1
2022,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,220500016,1
2024,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240500056,2
2022,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,221100038,1
2022,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,220300023,4
2024,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,241100052,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600050,1
2024,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,240100023,1
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700073,1
2023,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,231200042,1
2024,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,240400012,1
2022,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,220400019,1
2024,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,240300016,2
2023,JUN,Air and Marine Operations,Coastal/Interior,Operations Directorate,230600004,1
2024,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,240500031,2
2022,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,220900079,1
2021,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210100044,1
2023,APR,U.S. Border Patrol,Southern Border,San Diego Sector,230400068,3
2021,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,210200044,1
2024,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,240300015,2
2024,APR,U.S. Border Patrol,Southern Border,El Paso Sector,240400033,1
2022,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,221000039,1
2023,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,230600066,1
2024,JUL,U.S. Border Patrol,Southern Border,Laredo Sector,240700084,1
2024,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,241100044,1
2023,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,231000072,1
2023,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,230100072,1
2022,DEC,Office of Field Operations,Southern Border,San Diego Field Office,221200088,1
2023,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,230700070,1
2023,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,230700019,1
2023,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,231000041,1
2024,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,240500066,1
2023,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230200062,1
2023,NOV,U.S. Border Patrol,Southern Border,Yuma Sector,231100101,1
2024,DEC,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,241200007,2
2023,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,231200074,1
2024,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,240100024,1
2021,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210100042,1
2021,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,211000016,3
2024,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,241100049,1
2024,APR,U.S. Border Patrol,Southern Border,El Paso Sector,240400027,1
2024,FEB,U.S. Border Patrol,Northern Border,Houlton Sector,240200048,1
2022,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,220300077,1
2023,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,230300055,1
2023,MAY,Office of Field Operations,Southern Border,San Diego Field Office,230500103,1
2022,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,220200072,1
2023,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,230100021,1
2023,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,230400017,1
2021,SEP,Office of Field Operations,Southern Border,Tucson Field Office,210900090,1
2024,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,240400008,1
2021,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,210300043,2
2021,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,210900064,1
2022,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,220500066,1
2021,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,210700015,1
2021,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,211200040,2
2021,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,210900019,1
2021,APR,U.S. Border Patrol,Southern Border,El Paso Sector,210400031,1
2022,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,220900104,1
2024,SEP,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240900038,1
2022,APR,U.S. Border Patrol,Southern Border,Yuma Sector,220400102,1
2023,APR,U.S. Border Patrol,Southern Border,El Paso Sector,230400044,1
2022,FEB,U.S. Border Patrol,Southern Border,Big Bend Sector,220200005,1
2024,JUN,U.S. Border Patrol,Southern Border,El Centro Sector,240600012,2
2022,JUN,U.S. Border Patrol,Southern Border,Yuma Sector,220600072,1
2022,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,220200050,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500071,1
2023,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,230800076,1
2023,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,230100083,1
2021,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,211000047,1
2021,APR,U.S. Border Patrol,Southern Border,Laredo Sector,210400039,2
2021,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,210100025,1
2022,DEC,U.S. Border Patrol,Southern Border,Laredo Sector,221200036,1
2023,FEB,Office of Field Operations,Coastal/Interior,Miami Field Office,230200125,1
2021,OCT,Office of Field Operations,Southern Border,Tucson Field Office,211000065,2
2024,JUN,Office of Field Operations,Southern Border,Laredo Field Office,240600066,1
2023,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,230200105,2
2024,APR,U.S. Border Patrol,Southern Border,El Paso Sector,240400039,1
2023,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,231000056,1
2021,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,211200044,1
2023,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,230100064,1
2021,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,210100024,1
2024,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240400048,1
2023,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,231100002,1
2023,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,231100052,1
2021,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,210800051,1
2024,DEC,U.S. Border Patrol,Southern Border,Yuma Sector,241200057,2
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100046,1
2022,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,221000027,1
2024,JAN,U.S. Border Patrol,Southern Border,Del Rio Sector,240100013,1
2024,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,241100019,1
2021,JUN,U.S. Border Patrol,Southern Border,Del Rio Sector,210600010,1
